nr;sourcefile;label;cfg_model;cfg_temperature;cfg_top_p;cfg_f_penalty;cfg_p_penalty;run_timestamp;run_duration_sec;result_status;result_file;result_length;total_duration_sec;total_iterations;total_prompt_tokens;total_completion_tokens;total_tokens;total_prompt_chars;total_completion_chars;total_chars;score_result_length;score_result_facts;grade;true_facts;false_facts
17;summarize-sourcefile_a.wf.md;LOCAL;deepseek-ai/deepseek-coder-7b-instruct-v1.5;0.7;1.0;0.0;0.0;2025-04-11 17:17:40;432.947626;SUCCESS;17_deepseek-ai_deepseek-coder-7b-instruct-v1.5.md;1863;378.9463754000026;3;0;0;0;3630;1863;5493;45.0;64.28571428571429;82.5;
18;summarize-sourcefile_b.wf.md;LOCAL;deepseek-ai/deepseek-coder-7b-instruct-v1.5;0.7;1.0;0.0;0.0;2025-04-11 17:24:53;376.144268;SUCCESS;18_deepseek-ai_deepseek-coder-7b-instruct-v1.5.md;1921;375.47055239998735;3;0;0;0;3038;1921;4959;55.5;42.85714285714286;85;
19;summarize-sourcefile_d.wf.md;LOCAL;deepseek-ai/deepseek-coder-7b-instruct-v1.5;0.7;1.0;0.0;0.0;2025-04-11 17:31:10;546.320761;SUCCESS;19_deepseek-ai_deepseek-coder-7b-instruct-v1.5.md;2544;545.5748457000009;3;0;0;0;3115;2544;5659;6.0;71.42857142857143;80;
20;summarize-sourcefile_e.wf.md;LOCAL;deepseek-ai/deepseek-coder-7b-instruct-v1.5;0.7;1.0;0.0;0.0;2025-04-11 17:40:16;373.835632;SUCCESS;20_deepseek-ai_deepseek-coder-7b-instruct-v1.5.md;1849;373.11624329999904;3;0;0;0;3036;1849;4885;59.5;57.14285714285715;70;
21;summarize-sourcefile_a.wf.md;LOCAL;bigcode/starcoder2-7b;0.7;1.0;0.0;0.0;2025-04-14 20:10:04;1030.789374;FAILED;21_bigcode_starcoder2-7b.md;4096;973.9627854;3;0;0;0;3630;4096;7726;51.5;28.571428571428573;;
22;summarize-sourcefile_b.wf.md;LOCAL;bigcode/starcoder2-7b;0.7;1.0;0.0;0.0;2025-04-14 20:27:15;987.948033;FAILED;22_bigcode_starcoder2-7b.md;3917;987.1919618999998;3;0;0;0;3038;3917;6955;0;28.571428571428573;;
23;summarize-sourcefile_d.wf.md;LOCAL;bigcode/starcoder2-7b;0.7;1.0;0.0;0.0;2025-04-14 20:43:43;956.996088;FAILED;23_bigcode_starcoder2-7b.md;4245;956.2577564000003;3;0;0;0;3115;4245;7360;0;0;;
24;summarize-sourcefile_e.wf.md;LOCAL;bigcode/starcoder2-7b;0.7;1.0;0.0;0.0;2025-04-14 20:59:40;261.490955;FAILED;24_bigcode_starcoder2-7b.md;473;234.99159360000021;3;0;0;0;3036;473;3509;27.5;0;;
25;summarize-sourcefile_a.wf.md;LOCAL;Qwen/Qwen2.5-Coder-3B-Instruct;0.7;1.0;0.0;0.0;2025-04-14 21:35:50;728.183971;SUCCESS;25_Qwen_Qwen2.5-Coder-3B-Instruct.md;2524;43.933859400000074;3;0;0;0;3630;2524;6154;23.5;71.42857142857143;85;
26;summarize-sourcefile_b.wf.md;LOCAL;Qwen/Qwen2.5-Coder-3B-Instruct;0.7;1.0;0.0;0.0;2025-04-14 21:47:58;43.146852;SUCCESS;26_Qwen_Qwen2.5-Coder-3B-Instruct.md;2438;42.49593360000017;3;0;0;0;3038;2438;5476;27.5;64.28571428571429;85;
27;summarize-sourcefile_d.wf.md;LOCAL;Qwen/Qwen2.5-Coder-3B-Instruct;0.7;1.0;0.0;0.0;2025-04-14 21:48:41;46.764225;SUCCESS;27_Qwen_Qwen2.5-Coder-3B-Instruct.md;2615;45.76575479999974;3;0;0;0;3115;2615;5730;8.5;50.00000000000001;95;
28;summarize-sourcefile_e.wf.md;LOCAL;Qwen/Qwen2.5-Coder-3B-Instruct;0.7;1.0;0.0;0.0;2025-04-14 21:49:28;39.431144;SUCCESS;28_Qwen_Qwen2.5-Coder-3B-Instruct.md;2305;38.87164279999979;3;0;0;0;3036;2305;5341;27.5;57.14285714285715;60;
